2025-09-25 14:24:02.057148 Epoch [006/100], Step [0950/1150], Loss1: 0.3497 Loss2: 0.4821 Loss3: 0.3295
2025-09-25 14:25:05.027894 Epoch [006/100], Step [1000/1150], Loss1: 0.3508 Loss2: 0.5817 Loss3: 0.3320
2025-09-25 14:26:07.933826 Epoch [006/100], Step [1050/1150], Loss1: 0.4588 Loss2: 0.6133 Loss3: 0.4356
2025-09-25 14:27:10.870890 Epoch [006/100], Step [1100/1150], Loss1: 0.4373 Loss2: 0.6793 Loss3: 0.4222
2025-09-25 14:28:13.279493 Epoch [006/100], Step [1150/1150], Loss1: 0.2883 Loss2: 0.3681 Loss3: 0.2671
2025-09-25 14:28:17.854396 Epoch [007/100], Step [0001/1150], Loss1: 0.4142 Loss2: 0.6299 Loss3: 0.3883
2025-09-25 14:29:19.847718 Epoch [007/100], Step [0050/1150], Loss1: 0.2249 Loss2: 0.3396 Loss3: 0.2205
2025-09-25 14:30:22.964459 Epoch [007/100], Step [0100/1150], Loss1: 0.3966 Loss2: 0.6255 Loss3: 0.3868
2025-09-25 14:31:32.528116 Epoch [007/100], Step [0150/1150], Loss1: 0.3528 Loss2: 0.5744 Loss3: 0.3240
2025-09-25 14:32:38.678044 Epoch [007/100], Step [0200/1150], Loss1: 0.4359 Loss2: 0.5512 Loss3: 0.4094
2025-09-25 14:33:41.772419 Epoch [007/100], Step [0250/1150], Loss1: 0.2652 Loss2: 0.3161 Loss3: 0.2399
2025-09-25 14:34:45.001050 Epoch [007/100], Step [0300/1150], Loss1: 0.4947 Loss2: 0.6227 Loss3: 0.4635
2025-09-25 14:35:48.134594 Epoch [007/100], Step [0350/1150], Loss1: 0.2627 Loss2: 0.4609 Loss3: 0.2620
2025-09-25 14:36:51.324729 Epoch [007/100], Step [0400/1150], Loss1: 0.2551 Loss2: 0.2864 Loss3: 0.2246
2025-09-25 14:37:54.713732 Epoch [007/100], Step [0450/1150], Loss1: 0.3015 Loss2: 0.4192 Loss3: 0.2706
2025-09-25 14:38:57.820579 Epoch [007/100], Step [0500/1150], Loss1: 0.5617 Loss2: 0.6907 Loss3: 0.5483
2025-09-25 14:40:01.475509 Epoch [007/100], Step [0550/1150], Loss1: 0.1742 Loss2: 0.2707 Loss3: 0.1609
2025-09-25 14:41:04.701944 Epoch [007/100], Step [0600/1150], Loss1: 0.2666 Loss2: 0.4012 Loss3: 0.2432
2025-09-25 14:42:07.974114 Epoch [007/100], Step [0650/1150], Loss1: 0.3854 Loss2: 0.5006 Loss3: 0.3641
2025-09-25 14:43:11.516515 Epoch [007/100], Step [0700/1150], Loss1: 0.4988 Loss2: 0.6464 Loss3: 0.4552
2025-09-25 14:44:14.965593 Epoch [007/100], Step [0750/1150], Loss1: 0.3625 Loss2: 0.5318 Loss3: 0.3605
2025-09-25 14:45:18.445453 Epoch [007/100], Step [0800/1150], Loss1: 0.4853 Loss2: 0.5939 Loss3: 0.4544
2025-09-25 14:46:22.322586 Epoch [007/100], Step [0850/1150], Loss1: 0.2903 Loss2: 0.3614 Loss3: 0.2614
2025-09-25 14:47:25.753604 Epoch [007/100], Step [0900/1150], Loss1: 0.3707 Loss2: 0.5958 Loss3: 0.3273
2025-09-25 14:48:29.202627 Epoch [007/100], Step [0950/1150], Loss1: 0.3790 Loss2: 0.5678 Loss3: 0.3695
2025-09-25 14:49:32.926646 Epoch [007/100], Step [1000/1150], Loss1: 0.3069 Loss2: 0.3606 Loss3: 0.2952
2025-09-25 14:50:36.850462 Epoch [007/100], Step [1050/1150], Loss1: 0.2468 Loss2: 0.4028 Loss3: 0.2136
2025-09-25 14:51:40.118000 Epoch [007/100], Step [1100/1150], Loss1: 0.3869 Loss2: 0.5969 Loss3: 0.3701
2025-09-25 14:52:43.785987 Epoch [007/100], Step [1150/1150], Loss1: 0.4296 Loss2: 0.6668 Loss3: 0.3956
2025-09-25 14:52:49.893075 Epoch [008/100], Step [0001/1150], Loss1: 0.3446 Loss2: 0.5319 Loss3: 0.3210
2025-09-25 14:53:51.551279 Epoch [008/100], Step [0050/1150], Loss1: 0.3705 Loss2: 0.4882 Loss3: 0.3580
2025-09-25 14:54:54.492522 Epoch [008/100], Step [0100/1150], Loss1: 0.3011 Loss2: 0.4906 Loss3: 0.2829
2025-09-25 14:55:57.308644 Epoch [008/100], Step [0150/1150], Loss1: 0.5492 Loss2: 0.6016 Loss3: 0.5096
2025-09-25 14:57:00.460547 Epoch [008/100], Step [0200/1150], Loss1: 0.4164 Loss2: 0.6066 Loss3: 0.4009
2025-09-25 14:58:03.367348 Epoch [008/100], Step [0250/1150], Loss1: 0.3590 Loss2: 0.4862 Loss3: 0.3302
2025-09-25 14:59:06.538656 Epoch [008/100], Step [0300/1150], Loss1: 0.3640 Loss2: 0.5640 Loss3: 0.3454
2025-09-25 15:00:09.739415 Epoch [008/100], Step [0350/1150], Loss1: 0.3245 Loss2: 0.4431 Loss3: 0.3083
2025-09-25 15:01:13.045612 Epoch [008/100], Step [0400/1150], Loss1: 0.3881 Loss2: 0.5771 Loss3: 0.4003
2025-09-25 15:02:16.125824 Epoch [008/100], Step [0450/1150], Loss1: 0.3377 Loss2: 0.4773 Loss3: 0.3131
2025-09-25 15:03:19.240839 Epoch [008/100], Step [0500/1150], Loss1: 0.3369 Loss2: 0.5805 Loss3: 0.3215
2025-09-25 15:04:22.593412 Epoch [008/100], Step [0550/1150], Loss1: 0.3053 Loss2: 0.3872 Loss3: 0.2811
