[2025-06-25 12:43:48.530589] => [Epoch Num: 018/100] => [Global Step: 0080/0168] => [Loss: 1.6601]
[2025-06-25 12:44:59.725447] => [Epoch Num: 018/100] => [Global Step: 0100/0168] => [Loss: 1.6565]
[2025-06-25 12:46:10.775548] => [Epoch Num: 018/100] => [Global Step: 0120/0168] => [Loss: 1.6538]
[2025-06-25 12:47:22.055312] => [Epoch Num: 018/100] => [Global Step: 0140/0168] => [Loss: 1.6514]
[2025-06-25 12:48:33.023389] => [Epoch Num: 018/100] => [Global Step: 0160/0168] => [Loss: 1.6420]
[2025-06-25 12:49:04.520543] => [Epoch Num: 019/100] => [Global Step: 0000/0168] => [Loss: 1.6428]
[2025-06-25 12:50:15.653143] => [Epoch Num: 019/100] => [Global Step: 0020/0168] => [Loss: 1.6569]
[2025-06-25 12:51:26.667831] => [Epoch Num: 019/100] => [Global Step: 0040/0168] => [Loss: 1.6633]
[2025-06-25 12:52:37.853193] => [Epoch Num: 019/100] => [Global Step: 0060/0168] => [Loss: 1.6417]
[2025-06-25 12:53:49.083726] => [Epoch Num: 019/100] => [Global Step: 0080/0168] => [Loss: 1.6592]
[2025-06-25 12:55:00.124522] => [Epoch Num: 019/100] => [Global Step: 0100/0168] => [Loss: 1.6501]
[2025-06-25 12:56:11.370996] => [Epoch Num: 019/100] => [Global Step: 0120/0168] => [Loss: 1.6287]
[2025-06-25 12:57:22.264896] => [Epoch Num: 019/100] => [Global Step: 0140/0168] => [Loss: 1.6384]
[2025-06-25 12:58:33.472827] => [Epoch Num: 019/100] => [Global Step: 0160/0168] => [Loss: 1.6467]
[2025-06-25 12:59:05.157789] => [Epoch Num: 020/100] => [Global Step: 0000/0168] => [Loss: 1.6466]
[2025-06-25 13:00:16.054821] => [Epoch Num: 020/100] => [Global Step: 0020/0168] => [Loss: 1.6309]
[2025-06-25 13:01:27.134754] => [Epoch Num: 020/100] => [Global Step: 0040/0168] => [Loss: 1.6338]
[2025-06-25 13:02:38.261729] => [Epoch Num: 020/100] => [Global Step: 0060/0168] => [Loss: 1.6478]
[2025-06-25 13:03:49.440387] => [Epoch Num: 020/100] => [Global Step: 0080/0168] => [Loss: 1.6283]
[2025-06-25 13:05:00.368260] => [Epoch Num: 020/100] => [Global Step: 0100/0168] => [Loss: 1.6428]
[2025-06-25 13:06:11.368813] => [Epoch Num: 020/100] => [Global Step: 0120/0168] => [Loss: 1.6338]
[2025-06-25 13:07:22.290349] => [Epoch Num: 020/100] => [Global Step: 0140/0168] => [Loss: 1.6377]
[2025-06-25 13:08:33.460648] => [Epoch Num: 020/100] => [Global Step: 0160/0168] => [Loss: 1.6334]
[2025-06-25 13:09:04.927277] => [Epoch Num: 021/100] => [Global Step: 0000/0168] => [Loss: 1.6203]
[2025-06-25 13:10:15.965660] => [Epoch Num: 021/100] => [Global Step: 0020/0168] => [Loss: 1.6354]
[2025-06-25 13:11:27.171372] => [Epoch Num: 021/100] => [Global Step: 0040/0168] => [Loss: 1.6372]
[2025-06-25 13:12:38.343642] => [Epoch Num: 021/100] => [Global Step: 0060/0168] => [Loss: 1.6380]
[2025-06-25 13:13:49.430783] => [Epoch Num: 021/100] => [Global Step: 0080/0168] => [Loss: 1.6152]
[2025-06-25 13:15:00.666258] => [Epoch Num: 021/100] => [Global Step: 0100/0168] => [Loss: 1.6376]
[2025-06-25 13:16:11.684967] => [Epoch Num: 021/100] => [Global Step: 0120/0168] => [Loss: 1.6126]
[2025-06-25 13:17:22.925345] => [Epoch Num: 021/100] => [Global Step: 0140/0168] => [Loss: 1.6167]
[2025-06-25 13:18:33.851095] => [Epoch Num: 021/100] => [Global Step: 0160/0168] => [Loss: 1.6458]
[2025-06-25 13:19:05.245724] => [Epoch Num: 022/100] => [Global Step: 0000/0168] => [Loss: 1.6439]
[2025-06-25 13:20:16.121480] => [Epoch Num: 022/100] => [Global Step: 0020/0168] => [Loss: 1.6205]
[2025-06-25 13:21:27.195710] => [Epoch Num: 022/100] => [Global Step: 0040/0168] => [Loss: 1.6137]
[2025-06-25 13:22:38.260627] => [Epoch Num: 022/100] => [Global Step: 0060/0168] => [Loss: 1.6363]
[2025-06-25 13:23:49.473480] => [Epoch Num: 022/100] => [Global Step: 0080/0168] => [Loss: 1.6492]
[2025-06-25 13:25:00.405028] => [Epoch Num: 022/100] => [Global Step: 0100/0168] => [Loss: 1.6311]
[2025-06-25 13:26:11.651516] => [Epoch Num: 022/100] => [Global Step: 0120/0168] => [Loss: 1.6451]
[2025-06-25 13:27:22.494591] => [Epoch Num: 022/100] => [Global Step: 0140/0168] => [Loss: 1.6202]
[2025-06-25 13:28:33.717725] => [Epoch Num: 022/100] => [Global Step: 0160/0168] => [Loss: 1.6330]
[2025-06-25 13:29:04.912981] => [Epoch Num: 023/100] => [Global Step: 0000/0168] => [Loss: 1.6301]
[2025-06-25 13:30:15.878010] => [Epoch Num: 023/100] => [Global Step: 0020/0168] => [Loss: 1.6147]
[2025-06-25 13:31:26.960739] => [Epoch Num: 023/100] => [Global Step: 0040/0168] => [Loss: 1.6179]
[2025-06-25 13:32:38.048822] => [Epoch Num: 023/100] => [Global Step: 0060/0168] => [Loss: 1.6118]
[2025-06-25 13:33:49.038057] => [Epoch Num: 023/100] => [Global Step: 0080/0168] => [Loss: 1.6068]
[2025-06-25 13:35:00.231225] => [Epoch Num: 023/100] => [Global Step: 0100/0168] => [Loss: 1.5929]
[2025-06-25 13:36:11.522217] => [Epoch Num: 023/100] => [Global Step: 0120/0168] => [Loss: 1.6292]
[2025-06-25 13:37:22.460322] => [Epoch Num: 023/100] => [Global Step: 0140/0168] => [Loss: 1.6218]
[2025-06-25 13:38:33.364915] => [Epoch Num: 023/100] => [Global Step: 0160/0168] => [Loss: 1.6168]
[2025-06-25 13:39:04.592213] => [Epoch Num: 024/100] => [Global Step: 0000/0168] => [Loss: 1.6250]
[2025-06-25 13:40:15.442915] => [Epoch Num: 024/100] => [Global Step: 0020/0168] => [Loss: 1.6257]
[2025-06-25 13:41:26.308333] => [Epoch Num: 024/100] => [Global Step: 0040/0168] => [Loss: 1.6068]
[2025-06-25 13:42:37.290155] => [Epoch Num: 024/100] => [Global Step: 0060/0168] => [Loss: 1.6244]
[2025-06-25 13:43:48.223239] => [Epoch Num: 024/100] => [Global Step: 0080/0168] => [Loss: 1.6263]
[2025-06-25 13:44:59.617286] => [Epoch Num: 024/100] => [Global Step: 0100/0168] => [Loss: 1.6144]
[2025-06-25 13:46:10.652189] => [Epoch Num: 024/100] => [Global Step: 0120/0168] => [Loss: 1.6232]
[2025-06-25 13:47:21.366380] => [Epoch Num: 024/100] => [Global Step: 0140/0168] => [Loss: 1.6247]
[2025-06-25 13:48:32.387946] => [Epoch Num: 024/100] => [Global Step: 0160/0168] => [Loss: 1.6231]
[2025-06-25 13:49:03.500787] => [Epoch Num: 025/100] => [Global Step: 0000/0168] => [Loss: 1.5991]
[2025-06-25 13:50:14.567942] => [Epoch Num: 025/100] => [Global Step: 0020/0168] => [Loss: 1.6131]
[2025-06-25 13:51:25.869324] => [Epoch Num: 025/100] => [Global Step: 0040/0168] => [Loss: 1.5924]
